layer,category,indomain,image_name,decode_url,image_urls
2,3,1,c4d04b8f82f70a73f273bfc2bd8a8af454f664ac.png,https://mzl.la/2I1I2r5,https://www.mozilla.org/media/img/firefox/browsers/mobile/qr-focus.0698cb8af7fc.png
2,3,0,1f676910d73f452fa66eb8138779b5593ed77a8d.jpg,A20201A,https://img.ltn.com.tw/Upload/health/page/800/2022/07/06/phpec6nQb.jpg
2,3,1,670b5ba91de24441063d63c05c3ad219b840dbe5.png,9000000000304273634,https://line.me/static/7021565c70781907870f9511c9e94f90/bd486/a276f0ba4514646db440283731a02819.png
2,3,1,030869a4208bb8d21b5a127a69df930b735e6fbd.png,9000000000304273634,https://line.me/static/cd86abf8e8acbd2e6989ffa474c2dca7/e5469/1ffd0b45263b41335640b479e71c7576.png
2,3,1,c054aee7fc1d104f54af7ad7b33ec97211ce0953.png,http://iservice.ltn.com.tw/app/app.html,https://drawpage.ltn.com.tw/slot_v9/images/app_1.png
2,3,1,ad5979e98d9c9320e24c35081045a91f6b99e5c3.jpg,A762FFFFFTS8LL2131U,https://drawpage.ltn.com.tw/slot_v9/images/qa03/06.jpg
2,3,1,5440289a61ca2c76847edcf796db94105be1138f.jpg,A762FFFFFTS8LL2131U,https://drawpage.ltn.com.tw/slot_v9/images/qa06/04.jpg
2,3,0,c78e460f27f56d89936a8d2a15d04701797a1966.png,https://wellbeing.mohw.gov.tw/nor/main,https://www.mohw.gov.tw/Public/Images/202110/96221100813576a482.png
2,3,0,f3b3f375f1dee5dc6e966a3d5c9bd8223383ae9e.jpg,https://wellbeing.mohw.gov.tw/nor/mmap,https://www.mohw.gov.tw/Public/Images/202104/9992104071950cf30d.jpg
2,3,1,c2eadcd5c6b02d9a254c7472584315c322f7d7bc.png,https://www.taiwantrip.com.tw/Frontend/Route/Select_p?RouteID=R0045,https://www.rs-event.com.tw/2022tynballoon/images/a02_h1.png
2,3,1,c2eadcd5c6b02d9a254c7472584315c322f7d7bc.png,https://pay.pss-group.com/#/?site_id=PSS_IC0321,https://www.rs-event.com.tw/2022tynballoon/images/a02_h1.png
