layer,category,indomain,image_name,decode_url,image_urls
3.0,1,1,a870e08fe47f22c33f3e0199eafd333a7a86e3f6.png,https://play.google.com/store/apps/developer?id=%22Psiphon%20Inc%2E%22,https://psiphon3.com/images/android/google-play-dev-page-qr.png
3.0,1,1,cbd5264b85c39f019ff46d6553905cf5dacfc776.png,https://apps.apple.com/app/psiphon/id1276263909,https://psiphon3.com/images/ios/psiphon-vpn-app-store-qr.png
3.0,1,1,9131493d0843d90a4a0a0d5556225dba181816ea.png,https://apps.apple.com/app/psiphon-browser/id1193362444,https://psiphon3.com/images/ios/psiphon-browser-app-store-qr.png
3.0,1,1,acc6341a76115fb2b1eb661ca1c0f89a84249b31.png,https://s3.amazonaws.com/psiphon/web/mjr4-p23r-puwl/PsiphonAndroid.apk,https://psiphon3.com/images/android/android-download-qr.png
3.0,1,0,3dcd6c6eb7903a869c5cb7cfbc243f4344d21570.jpg,bitcoin:1ALZPzBhfTbf9eNxJUS5P9etjjY6KFXKNi?amount=0.0017554,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/ac6ae066-d5b5-11e7-9f0f-17d2b34db402/435979895/blockchain-bitcoin-wallet-screenshot.jpg"
3.0,1,0,f348de75f8d556d5442aec51812318cea3c3164f.jpg,270565,"https://images.sftcdn.net/images/t_app-cover-m,f_auto/p/78b22b82-ff81-4fd5-86a9-f66f1a51332e/2153899234/coinmama-2153899234.jpg"
3.0,1,1,aca8c04994236f33726a0d03902ecc49d07e5fbf,706177,https://evernote.com/c/assets/homepage-repackaging/clip_the_web__en.png?2eb123743a75ea2a
3.0,1,0,994a4c97bd7fb48e293f65cf9a8c7d3524d4920d.png,7,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/0909f740-a4d3-11e6-b789-00163ed833e7/2516326311/starcode-express-plus-point-of-sale-and-inventory-manager-screenshot.png"
3.0,1,0,a6349de667dcfead82ceac10d9649c1f70fff5c0.jpg,170563,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/0004e152-b809-4ab6-9d0f-bf4be2f6c8a6/4048685266/sentinels-of-the-multiverse-screenshot.jpg"
3.0,1,0,42cc0d527c945160163e739f89bdd47dcacd3a9c.jpg,400342,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/2737b7f9-4175-41ff-b818-d0aa493b7b71/786500728/ksweb-server-php-mysql-screenshot.jpg"
3.0,1,0,2531a703d3c3fe60c3bddb62f66ce880a2dffefa.jpg,http://scanco.de/7,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/5290c587-2597-40e3-b67e-38cc7451c1ab/1296084759/scan-qr-code-and-barcode-reader-screenshot.jpg"
3.0,1,0,a6eeafd169bfcd75b45ecb66233faa14eea7259d.png,www.google.co.uk,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/20447a86-e478-11e6-be0e-3a3b3a35cc94/1245173801/qr-barcode-scanner-1-screenshot.png"
3.0,1,0,badaee3050efaf62254e48b38fd44fd71bcf2251.png,0011594022019,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/be0622cc-9a65-11e6-99d7-00163ec9f5fa/3528756799/flow-screenshot.png"
3.0,1,0,f974a191bae8890778013bbc96c618c3b6a2de7b.jpg,www.progressivewebapproom.com,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/904bc39c-f793-4828-af3f-1e20036445f4/2505254576/qr-code-scan-qrcodescan-s2.jpg"
3.0,1,0,750f7d424ba324fdee52c0a46c8632eaf44333b6.jpg,447937,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/e2e1d97c-9a67-11e6-87c8-00163ed833e7/421494517/mp3-quiz-screenshot.jpg"
3.0,1,0,6a218afb2aafa0dbfd7412301a013a09f6787452.jpg,http://software.echoo.pro,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/b5c8c616-9b35-11e6-80dd-00163ed833e7/3319102859/eacode-screenshot.jpg"
3.0,1,0,002221e536107b5e78658fd584a6c29296184d25.png,Acrobits,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/5c40f2d5-b7cf-489b-a4dd-06ec73fb9d24/4023136056/crazyphone-sms-calls-by-crazytel-screenshot.png"
3.0,1,0,8f7155ae1219cc72c98752ecb74d91d007eb2202.jpg,,"https://images.sftcdn.net/images/t_app-cover-s,f_auto/p/79fabf3a-1193-4e1c-b41b-ce823621ff41/3174496670/touhou-fumo-racing-Touhou%20Fumo%20Racing-3.jpg"
3.0,1,1,8f501ec1a8ae2887e45eb714588eaac14cb89715,706177,https://evernote.com/c/assets/homepage-repackaging/clip_the_web__en.png?35953ccc6b1b69ea
