layer,category,indomain,image_name,decode_url,image_urls
3.0,6,1,d293cde4c794769f0d4bbae64d80a524bb0f55eb.png,https://line.me/R/ti/p/@356mrubc,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAPoAAAD6AQAAAACgl2eQAAABs0lEQVR4Xu2W0W3DMAxECXgAj6TVNZIHEMDy8ezUDYr0tweYcF2FfPk48Egl8nPMeM+8xQMoHkDxAIoGZlTsc+2cV8R2xCKlmg1Qf2uffNrndowX7AWUqEWSZ8uM/hh8xQ6oA6XqVB7GwNYta6W87YDsEvmSmfTrV0/+c4BRvyx3PqRUcwEUiKrZrwOue2V9gLYc6ljC3aaIsW4yHQAE1sirX/JbMEfknYC+B+tNVavgGN04JyCY+lYao56saqLUC2B9tbTUEi7J1/j4ANlnFleirno32nXTCtDUT2lMDU7BN8s5AFzrm6QFExQcxs1yFsCM02Y1+zU1CJTfrIBUpqsMvvYApBsQ521SD5bT2wrQvFxVtnFsUmoFRP8guWTiwAJ+XosGwELXINOWg6dT0wvgf0+KbEbmYJW5AdektNhyG5W+XIyAHpZqEAdWGaopWAHnsfNssxZ4l2kBIAqDMe+VTy6XluwF5Om3YIn15aJveQHawwJYaKp+X+5OQL9rD1fjJnpbvh1QZqNNLGGd0wtIWa43AD9OEDvsgG4QSXrEnULXuOudgE/xAIoHUDyA4m/gC/NZyjxT8dqfAAAAAElFTkSuQmCC"
3.0,6,1,099cd03d4516e7b3580062a7227e4019467acabe.png,https://line.me/R/ti/p/@097injae,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAPoAAAD6AQAAAACgl2eQAAABrUlEQVR4Xu2Xy23EMAxECbgAl6TWVZILEMDwDbVZZw+b8wAmFIOSXg7E8KON/G4zPk8+7AHaHqDtAdoEzCg75zrxV8RxxeKo72yA+lvnZHfO4xq/sBdQQS0OWUdmaBv8ix2gHUqNvLyB+q4YB44fkEq5liykV/NeQGkUr5Tbi6O+cwHaFGylXBLm+9QH2DJVXBeAAh/rFqYDMIEuvKoaiZVxpkgroOdg1ftrmlQro5tZAUGm0QGYJsLkpBfAmwR1Ug48uSf5jIA+QbLOtGso66YVoOiK0TRMVOOVcks5D4Dt61wVRIy3lLMAiC4IkyYm1UbnmxugL7cUfjHRpBPQc6TEqiZGH5PPsgIqu+hj+zZGdOJVpE4A5R89DWHevBUwQy2LBTx4ZSkJvQAxVM2CrABVO7eUMwFyJxsyDcmEZF6AigWxiFQylXwp8wG220plvxj/hGkBEFR07fN0r9qJasvr3uUcgNQQId/0Yt9hSi8jYOknbX+F6fY+/c2ArKtmOnw7YMukESk/vYBUysmp2gluactmgATisDuAyr8m47ACvtkDtD1A2wO0/Q/8AInUkiAmrSqgAAAAAElFTkSuQmCC"
3.0,6,1,f4e20f5607b3af362d046155bf1e742e62a75a07.png,https://linebc.sinopac.com/bcsweb/l/1077,https://bank.sinopac.com/sinopacBT/webevents/FXplatform/img/qr.png
3.0,6,1,12ebac41a8d4e5d58e45c6215e7756d0ae9867f6.jpg,http://www.trulyloud.com/qr-fwd?qr=1449cd59a86faf5290a7f35420d13d7d7f37ea31aed960636563c31a843142cd,https://blog.unfranchise.com/wp-content/uploads/2022/04/influencer.jpg
3.0,6,0,s239253.jpg,Wikipedia,https://img.shopping.friday.tw/cmsimg/3ae9c5ac/e775482a/877c0389/67332603/s239253.jpg
3.0,6,0,6285e17d4fedb8_63513648.jpg,https://fri.page.link/mm-appfirstbuy-download,https://hiiir-fastdeliever.s3.amazonaws.com/_images/images/MKT_event/event/2022/20220601-appfirstbuy/6285e17d4fedb8_63513648.jpg
3.0,6,0,4493372376.jpg,,https://img.shopping.friday.tw/tpl/img/2022/24/4493372376.jpg
3.0,6,0,6552180001.jpg,https://event.hengstyle.com/oster/event,https://img.shopping.friday.tw/tpl/img/2022/27/6552180001.jpg
3.0,6,0,3071197565.jpg,https://www.adamelements.com.tw/help/service.php,https://img.shopping.friday.tw/tpl/img/2021/40/3071197565.jpg
3.0,6,1,new_qrcode.png,https://www.feib.com.tw/UpFiles/DigitalBank/appurl.html,https://www.feib.com.tw/static/images/layout/new_qrcode.png
3.0,6,0,s738434.jpg,https://www.surveycake.com/s/ZLXGd,https://img.shopping.friday.tw/cmsimg/45b0295d/e0264779/98389969/b14d64d1/s738434.jpg
3.0,6,0,s008194.jpg,https://register.philips-da.com.tw/events.aspx?nat=1,https://img.shopping.friday.tw/cmsimg/98001d39/5d0b4924/a4d3e5c2/4682a5c5/s008194.jpg
3.0,6,0,s416999.jpg,https://www.lifestyler.com.tw/PhilipsMember/NewActivity.aspx?nat=1,https://img.shopping.friday.tw/cmsimg/98001d39/5d0b4924/a4d3e5c2/4682a5c5/s416999.jpg
3.0,6,0,s915720.jpg,https://www.lifestyler.com.tw/philipsmember/NewActivity.aspx?nat=1,https://img.shopping.friday.tw/cmsimg/98001d39/5d0b4924/a4d3e5c2/4682a5c5/s915720.jpg
3.0,6,0,6947309_4.jpg,https://www.lifestyler.com.tw/philipsmember/NewActivity.aspx?nat=1,https://img.shopping.friday.tw/images/product/231/6947309/6947309_4.jpg?132890
3.0,6,0,7856286_3_6.jpeg,4712702677294,https://img.shopping.friday.tw/images/product/261/7856286/7856286_3_6.jpeg?388439
3.0,6,1,000005_1616581208.jpg,0760557812876,https://cs-a.ecimg.tw/items/DSABKIA900A4D2B/000005_1616581208.jpg
3.0,6,1,000005_1616581191.jpg,0760557812876,https://cs-a.ecimg.tw/items/DSABKIA900A4D1V/000005_1616581191.jpg
3.0,6,1,000005_1620270251.jpg,4711213918896,https://cs-a.ecimg.tw/items/DCAP42A90069X8C/000005_1620270251.jpg
3.0,6,0,7516345_3_3.jpg,4909411084615,https://img.shopping.friday.tw/images/product/250/7516345/7516345_3_3.jpg?612657
3.0,6,1,000005_1641206318.jpg,https://www.philips-da.com.tw/pages/%E6%B4%BB%E5%8B%95%E7%99%BB%E9%8C%84,https://cs-a.ecimg.tw/items/DMAT1FA900A89A3/000005_1641206318.jpg
3.0,6,1,qr-code-ch.png,www.cdic.gov.tw,https://www.cdic.gov.tw/main_ch/static/img/new/qr-code-ch.png
3.0,6,0,4676283_1.jpg,581605,https://img.shopping.friday.tw/images/product/155/4676283/4676283_1.jpg?163123
3.0,6,0,7588231_4.jpg,04710054534111,https://img.shopping.friday.tw/images/product/252/7588231/7588231_4.jpg?906133
3.0,6,0,img_255_0_0 (1).jpg,https://forms.gle/t8TXmvY996Rgngfm6,https://w6.pchome.com.tw/img/index_2019/img_255_0_0.jpg?t=1657855888
3.0,6,1,QRCode2.png,http://24h.m.pchome.com.tw/appget.php,https://fs-b.ecimg.tw/img/activity/v1/AC53320/AC53320955/assets/img/QRCode2.png
3.0,6,1,Company_declaration.png,https://ctp.tdcc.com.tw,https://gcis.nat.gov.tw/mainNew/images/Company_declaration.png
3.0,6,1,gcis_QR_code.png,http://gcis.nat.gov.tw/mainNew/,https://gcis.nat.gov.tw/mainNew/img/gcis_QR_code.png
3.0,6,1,img-iphone_1.png,009342,https://bank.sinopac.com/sinopacBT/webevents/USStock/images/img-iphone_1.png
3.0,6,1,edm_02.png,https://linebc.sinopac.com/SmartRobotbcweb/1JwUlR,https://bank.sinopac.com/sinopacBT/webevents/2004_lineoabind/images/edm_02.png
3.0,6,1,wc_qrcode.png,http://weixin.qq.com/r/-igvN2LEbz8QrSZU933s,http://www.sinopac.com.cn/sinopacBC/resources/images/wc_qrcode.png
3.0,6,1,16f7e179c1d000004bcd.jpg,http://onelink.to/trt42n,https://www.spf.com.tw/upload/sinopac/picture/16f7e179c1d000004bcd.jpg
3.0,6,1,qr_mobile.png,http://mma.tw/app,https://mma.sinopac.com/MMA8/mma/images/qr_mobile.png
3.0,6,1,qrcode.png,https://easy.sinopac.com/notice,https://www.mmab2c.com/MMA7txt/NextWeb/images/qrcode.png
3.0,6,1,icon_qrcode.png,https://dmp.sinopac.com/DMP_SA/r/R,https://dawho.tw/images/index/icon_qrcode.png
3.0,6,1,app-qrcode_orig.png,https://ehp.cp-hc.com/about/?action=app,https://www.e-healthpay.com/uploads/9/5/5/5/95553008/app-qrcode_orig.png
3.0,6,1,download_qrcode.png,https://dmp.sinopac.com/DMP_SA/r/R,https://dawho.tw/img/index/download_qrcode.png?v=200518
3.0,6,0,6260dc8eecc577_95930813.jpg,https://fri.page.link/mm-appfirstbuy-download,https://hiiir-fastdeliever.s3.amazonaws.com/_images/images/MKT_event/APP/20220501-appfirstbuy/6260dc8eecc577_95930813.jpg
3.0,6,1,photo-16-10@2x.jpg,http://onelink.to/td8yxj,https://www.scsb.com.tw/content/images/index_img/home/photo-16-10@2x.jpg
3.0,6,1,QrCode.png,https://fri.page.link/mm-download-event,https://event.shopping.friday.tw/event/20210510-event/images/QrCode.png
3.0,6,0,60adb0d5ecfdf8_62843081.jpg,https://fri.page.link/appdownload2021,https://hiiir-fastdeliever.s3.amazonaws.com/_images/images/MKT_event/event/2021/20210510-event/60adb0d5ecfdf8_62843081.jpg
3.0,6,1,QrCode (1).png,https://fri.page.link/mm-download-event,https://shopping.friday.tw/event/20210517-gift/images/QrCode.png
3.0,6,0,appdownload.png,http://onelink.to/9c3rkm,https://img.pcstore.com.tw/web_img/st/idx/appdownload.png?t=0
3.0,6,1,B-4.jpg,https://goo.gl/X0cnTc,https://img.pcstore.com.tw/store_ad/page/202109/jpcb/B-4.jpg?t=220621
3.0,6,0,w1054753139_img_0.jpg,4560105731712,https://dulu5budzucsb.cloudfront.net/bibian/bid/202206/105/w1054753139_img_0.jpg
3.0,6,0,SOGO_foodpad_download_SogoApp.jpg,https://reurl.cc/oLyM8v,https://photo.sogo.com.tw/Content/Upload/00/news/2022/220415/SOGO_foodpad_download_SogoApp.jpg
3.0,6,0,22060912243058811.jpg,https://reurl.cc/oLyM8v,https://photo.sogo.com.tw/Content/Upload/images/_upload/22060912243058811.jpg
3.0,6,0,i-img1088x1088-1657021699sav7ll413273.jpg,118557,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0307/users/230a292a441f8327efc14cb276aba4ca8a2d19e7/i-img1088x1088-1657021699sav7ll413273.jpg
3.0,6,0,i-img1200x900-1649931341gbtgmy191216.jpg,X6P6496043,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0304/users/8c44fdc1d2108863642907f1aec9d31de92d733f/i-img1200x900-1649931341gbtgmy191216.jpg
3.0,6,0,161164626187960666.jpg,http://line.me/ti/p/%40fdh3647l,https://platform.welcometw.com/file/show/Kw7Lo/1024.jpg
3.0,6,0,i-img1200x900-1657031753f0chzw250642.jpg,HTTPS://QR.NIKE.COM/0009VPTA1BECY,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0307/users/99d0f2e5ad6563ff65ff5c236507c378c7b992cd/i-img1200x900-1657031753f0chzw250642.jpg
3.0,6,0,i-img1200x900-1657031753l0vrdd250642.jpg,0193151879356,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0307/users/99d0f2e5ad6563ff65ff5c236507c378c7b992cd/i-img1200x900-1657031753l0vrdd250642.jpg
3.0,6,0,i-img900x1200-1617799512khth1o51671.jpg,4901777043725,https://auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0204/users/75d2a814d6095712044238d9e3581e56371aa4f8/i-img900x1200-1617799512khth1o51671.jpg
