layer,category,indomain,image_name,decode_url,image_urls
3,2,1,0c01c15e2e7d5a58deea9dea3a81b3cb6b60221a.png,www.datainspektionen.se,https://www.imy.se/globalassets/bilder/kamerabevakning-exempelskylt.png
3,2,1,531a84430385eef0926d37b398f9154fd6e8a51e.png,4847502167578066a,https://developers.google.com/pay/images/Header3MB.png
3,2,1,531a84430385eef0926d37b398f9154fd6e8a51e.png,621590570084,https://developers.google.com/pay/images/Header3MB.png
3,2,0,62050db34974ce448e3c426f383a9218c670c4bc,0602537411016,https://i.scdn.co/image/ab67616d00001e02861ecd2783b33bde98760364
3,2,1,fbdaadc2fce72f0609b984f38f3bf4ad7e5b5a43.jpg,https://www.mhlw.go.jp/mobile/,https://www.mhlw.go.jp/content/QR_https.jpg
3,2,1,87478890708300da721e3c24224818a844e47d4a.png,https://www.mhlw.go.jp/mobile/,https://www.mhlw.go.jp/content/QR_mobile.png
3,2,0,71a596dcfd86f5c0bbbe1c229d45d161ce908b6c.png,639111,https://help.apple.com/assets/6217C4DF7DA62E49B66E3DBD/6217C4E37DA62E49B66E3DCC/zh_TW/23a6dfe85552d68991f156dd763a5715.png
3,2,1,7c71ee3b3f14684cd1607468f7e2cd20f33bfb14.jpg,070694,https://www.apple.com/v/apple-pay/o/images/overview/online_apps__fce2npgr5auu_large.jpg
3,2,1,c46f22d412ed40e0467c1919a4c2ee9f50f877fa.png,https://support.apple.com/en-us/HT212360,https://support.apple.com/library/content/dam/edam/applecare/images/zh_TW/iOS/ios15-iphone13-pro-settings-appleid-password-security-legacy-contact-access-key.png
3,2,0,3e56da31969e449a1062fb9014e11fe7516560c2,144099,https://i.scdn.co/image/4c45128c2b441e5fe2563b080023f6d7e12ee319
3,2,1,612a3a10419837b265b87af898428fee667ca358,9813105AP01MN1,https://lh3.googleusercontent.com/krv8Brc7pyssLe2UGkziVgRAs8gvkto1o3N5RCVNBbUgR_ildnORlJNsQdLUqXTe1dc=w500
3,2,1,612a3a10419837b265b87af898428fee667ca358,GA00638-US,https://lh3.googleusercontent.com/krv8Brc7pyssLe2UGkziVgRAs8gvkto1o3N5RCVNBbUgR_ildnORlJNsQdLUqXTe1dc=w500
3,2,1,612a3a10419837b265b87af898428fee667ca358,0193575000640,https://lh3.googleusercontent.com/krv8Brc7pyssLe2UGkziVgRAs8gvkto1o3N5RCVNBbUgR_ildnORlJNsQdLUqXTe1dc=w500
3,2,1,baa2130fd283e6544f9908b8b3bee364346a1bb9,GA01588-US,https://lh3.googleusercontent.com/GldEpSkSpwaq-Uu0LXm5elqH1kUYS271e8kltCyb2XLAoUnG-NRvMFCXNAwJdbYCx0E=w500
3,2,1,baa2130fd283e6544f9908b8b3bee364346a1bb9,0193575004785,https://lh3.googleusercontent.com/GldEpSkSpwaq-Uu0LXm5elqH1kUYS271e8kltCyb2XLAoUnG-NRvMFCXNAwJdbYCx0E=w500
3,2,1,a1cebf4f9aa0483fd3d81333e5579bfb8b3d4af1.jpeg,https://forms.gle/9YjHSww5hM46HQEU6,https://www.moh.gov.my/moh/resources/Kajian_Kepuasan_Pelanggan_UKK.jpeg
3,2,0,68ac296cf68d9406404fa25989df66c7ec7457db.jpg,https://pizza.example.com,https://devimages-cdn.apple.com/wwdc-services/images/8/1990/1990_wide_250x141_2x.jpg
3,2,0,0acd5853be68cb9856350f1b8ef4c7f9f8b9d52b.jpg,Vision2021,https://devimages-cdn.apple.com/wwdc-services/images/119/4931/4931_wide_250x141_2x.jpg
3,2,1,a36ea6cc29ed3eec5fadea92586f195840998aef.jpg,https://me-qr.com/3Tbdcl,https://fiber.3bb.co.th/wp-content/uploads/2022/06/bangkoklife-sealifex3bb-420x575-1.jpg
3,2,1,1d8f55ae6d4a345a7e8d8a850203c54db94690e5.jpg,https://lin.ee/G11VgRm,https://fiber.3bb.co.th/wp-content/uploads/2022/06/Promotion-Web-Cherishfruit-420x575-1.jpg
