category,indomain,layer,urls
6,1,1,https://shopping.friday.tw/event/goldencard/
6,1,1,https://shopping.friday.tw/index.html
6,0,1,https://event.shopping.friday.tw/event/GH_bank/indexInfo.html
6,1,1,https://shopping.friday.tw/5/341.html
6,0,1,https://go.shopping.friday.tw/event/201810/20181031_event/index.html
6,0,1,https://event.shopping.friday.tw/event/GH_bank/index.html
6,1,1,https://24h.pchome.com.tw
6,0,1,https://shopping.pchome.com.tw
6,1,1,https://24h.pchome.com.tw/books/
6,0,1,https://www.tpipas.org.tw/DPmark/ShowCertData.aspx?id=B000007(01)
6,1,1,https://shopping.friday.tw/ec2/about_us
6,0,1,https://www.104.com.tw/jobbank/custjob/index.php?r=cust&j=433d456e3739416a33353d663b41391c92c2c2c28446f352654j51
6,0,1,https://www.facebook.com/fridayshopping
6,0,1,https://maac.io/1xDKI
6,1,1,https://shopping.friday.tw/ec2/intro_member
6,0,1,https://www.bibian.co.jp/?register&utm_source=24h_web&utm_medium=index_menu&utm_campaign=bibian_%E9%A6%96%E9%A0%81
6,0,1,https://global.pchome.com.tw
6,0,1,https://shopping.pchome.com.tw/travel/
6,0,1,https://www.pchomeec.tw/cdn/sites/mitch
6,0,1,https://ecssl.pchome.com.tw/sys/cflow/fsindex/BigCar/BIGCAR/ItemList
6,0,1,https://ecvip.pchome.com.tw
6,1,1,https://shopping.friday.tw/ec2/privacy
6,1,1,https://shopping.friday.tw/ec2/article
6,1,1,https://shopping.friday.tw/ec2/anti_grift
6,1,1,https://shopping.friday.tw/ec2/shopping_intro
6,1,1,https://shopping.friday.tw/ec2/card_intro
6,1,1,https://shopping.friday.tw/ec2/FaqList
6,0,1,https://ecvip.pchome.com.tw/web/order/all
6,0,1,https://ecvip.pchome.com.tw/web/order/refund
6,0,1,https://ecvip.pchome.com.tw/?0xaf58dd02741c48ca6263f78b8e428bc6618a3ed640480499691d4ffeab8ba45eee11ac06430b1614b3e801472a5589c4
6,0,1,https://ecvip.pchome.com.tw/?m=vendor
6,0,1,https://ecvip.pchome.com.tw/?m=myaccount&c=service&f=showBugService
6,1,1,https://shopping.friday.tw/ec2/CooperationAddForm
6,1,1,https://shopping.friday.tw/ec2/GroupurchaseAddForm
6,1,1,https://shopping.friday.tw/event/mem/scdp/index.html
6,1,1,https://shopping.friday.tw/event/20141030_app/
6,0,1,https://www.fetnet.net/
6,0,1,https://www.ferg.com.tw/
6,0,1,https://www.pchome.com.tw/
6,0,1,https://www.facebook.com/pchome24h/?ref=bookmarks
6,0,1,https://line.me/R/ti/p/@pchome24h
6,0,1,https://www.instagram.com/pchome24h/
6,1,1,https://24h.pchome.com.tw/sign/3c.htm
6,1,1,https://24h.pchome.com.tw/sign/cp.htm
6,1,1,https://24h.pchome.com.tw/sign/nb.htm
6,1,1,https://24h.pchome.com.tw/sign/mobile.htm
6,1,1,https://24h.pchome.com.tw/sign/digi.htm
6,1,1,https://24h.pchome.com.tw/sign/ce.htm
6,1,1,https://24h.pchome.com.tw/sign/daily.htm
6,1,1,https://24h.pchome.com.tw/sign/food.htm
6,1,1,https://24h.pchome.com.tw/sign/life.htm
6,1,1,https://24h.pchome.com.tw/sign/outdoor.htm
6,1,1,https://24h.pchome.com.tw/sign/beauty.htm
6,1,1,https://24h.pchome.com.tw/sign/vogue.htm
6,1,1,https://24h.pchome.com.tw/sign/brands
6,1,1,https://24h.pchome.com.tw/books
6,0,1,https://24h.pchome.app/pchome24h/604?24_c1_4
6,1,1,https://24h.pchome.com.tw/sitemap/
6,1,1,https://24h.pchome.com.tw/replenish/
6,1,1,https://24h.pchome.com.tw/cutprice/
6,1,1,https://www.thefaceshop.com.tw/
6,1,1,https://www.thefaceshop.com.tw/V2/TradesOrder/TradesOrderList?shopId=38145
6,1,1,https://www.thefaceshop.com.tw/V2/VipMember/VIPMemberRelay?shopId=38145
6,1,1,https://www.thefaceshop.com.tw/TraceSalePageList/TraceSalePageList
6,1,1,https://www.thefaceshop.com.tw/v2/ECoupon/MyECoupon
6,1,1,https://www.thefaceshop.com.tw/V2/ShoppingCart/Index?shopId=38145
6,1,1,https://www.thefaceshop.com.tw/v2/official/SalePageCategory/282089
6,1,1,https://www.thefaceshop.com.tw/v2/official/SalePageCategory/354787
6,1,1,https://www.thefaceshop.com.tw/v2/official/SalePageCategory/354591
6,1,1,https://www.thefaceshop.com.tw/v2/official/SalePageCategory/352303
6,1,1,https://shopping.google.com/?sa=X&ved=2ahUKEwjtkbuS5cj4AhXSxBYFHT-5BkAQw-QFegQIABAE
6,1,1,https://www.thefaceshop.com.tw/v2/official/SalePageCategory/352301
6,1,1,https://www.thefaceshop.com.tw/v2/official/SalePageCategory/352302
6,1,1,https://www.thefaceshop.com.tw/page/TOP10
6,1,1,http://www.thefaceshop.com.tw/V2/Activity/28391?layout=official
6,1,1,https://shopping.google.com/lists?sa=X&ved=2ahUKEwjtkbuS5cj4AhXSxBYFHT-5BkAQxuQFegQIABAF
6,0,1,https://policies.google.com/privacy?hl=en-US&sa=X&ved=2ahUKEwjtkbuS5cj4AhXSxBYFHT-5BkAQxeQFegQIABAG
6,1,1,https://shopping.google.com/terms?sa=X&ved=2ahUKEwjtkbuS5cj4AhXSxBYFHT-5BkAQnfsGegQIABAH
6,0,1,https://support.google.com/merchants/contact/policy?p=shop&cc=US&hl=en&sa=X&ved=2ahUKEwjtkbuS5cj4AhXSxBYFHT-5BkAQyOQFegQIABAI
6,1,1,https://www.thefaceshop.com.tw/page/storelist
6,1,1,https://www.thefaceshop.com.tw/page/member
6,1,1,https://www.thefaceshop.com.tw/V2/Activity/9040?layout=official
6,1,1,https://www.thefaceshop.com.tw/V2/Activity/9041?layout=official
6,1,1,https://www.thefaceshop.com.tw/v2/official/SalePageCategory/435352
6,0,1,https://www.google.com.tw/intl/en/about/products
